mint,creator_address,price_usd,fdv_usd,liquidity_usd,volume_h24_usd,price_change_h24_pct,volume_to_liquidity_ratio,fdv_to_liquidity_ratio,liquidity_to_volume_ratio,creator_balance_pct,top_10_holders_pct,total_lp_locked_usd,has_mint_authority,has_freeze_authority,is_lp_locked_95_plus,token_supply,total_insider_networks,largest_insider_network_size,total_insider_token_amount,rugcheck_risk_level,pump_dump_risk_score,time_of_day_utc,day_of_week_utc,is_weekend_utc,is_public_holiday_any,signal_source,grade,token_age_at_signal_seconds,checked_at_timestamp,checked_at_utc,token_age_hours_at_signal,label_status,label_ath_roi,label_final_roi,label_hit_50_percent
2JVZ7LF7dPj8EfmKcGe6CPjXZRLRZqe3wE66jR4Bpump,4f7Eo5fcFf5tYM5UzgLyZLUv5TYzFDDQv3SBUhZdZ2cz,0.0004272,427269.0,70989.31,440327.08,88.53,6.202723762211522,6.018779447215363,0.16121949619814432,0.0,28.84579761626659,72201.13236293058,0,0,1,999985198336750.0,3.0,136.0,164057469606839.0,unknown,30.0,5,5,1,0,alpha,LOW,515883.0,1763788082,2025-11-22 05:08:02.942511+00:00,143.3,loss,23.884652232593307,-95.74896723508999,0
2Lq3M3Q6pmxq23paXWeKZgNskJ8rktHYHdjD5nKSpump,GH9yk8vgFvHnAD8JZqXxr3hBN1Lr1mJ9NPzrP5mVqiJe,0.0001636453969652114,0.0,43516.15339102673,0.0,0.0,0.0,0.0,0.0,0.0,28.682720277412415,43516.15339102673,0,0,1,999998823435867.0,0.0,0.0,0.0,unknown,8.0,15,5,1,0,alpha,LOW,0.0,1762616913,2025-11-08 15:48:33.081776+00:00,UNKNOWN,loss,3.1498613040025805,-93.11926873055054,0
2LsescRjhcxoUwEQLpcsd3Gh6AHUyqEHANDakkoSpump,CeZbzsqje88U7GCCrAiGUr5BrZrBJ3AkQMyG9aggDiqQ,8.621184875110963e-05,0.0,54456.35569546016,0.0,0.0,0.0,0.0,0.0,0.0,50.24682121516447,54456.35569546016,0,0,1,999774642813891.0,6.0,260.0,287376799698396.0,unknown,55.0,23,4,0,0,alpha,LOW,0.0,1762558353,2025-11-07 23:32:33.055441+00:00,UNKNOWN,win,54.427441165311784,,1
2LsescRjhcxoUwEQLpcsd3Gh6AHUyqEHANDakkoSpump,CeZbzsqje88U7GCCrAiGUr5BrZrBJ3AkQMyG9aggDiqQ,0.0003698,369788.0,106614.42,282258.25,357.0,2.6474678565995107,3.4684613957474046,0.3777194112129583,0.0,31.920282750507265,102492.9441394505,0,0,1,999753021276679.0,10.0,272.0,443921003955891.0,unknown,38.0,12,3,0,1,alpha,LOW,7088780.0,1764245215,2025-11-27 12:06:55.429985+00:00,1969.11,win,527.1567940963192,,1
2MMsR3Kqyr2t9xHfnLupSK6HBmH8Qo5Ta19hgNjJpump,9WPHA2BicW1Z4bLpNigyZjnwjDtp2E1f1msx7fwBtkUs,0.00015211709483091293,151823.0,40722.48,915444.42,160.0,22.48007537851329,3.7282356084403503,0.04448383660473893,0.0,31.94254460383698,41437.0122550863,0,0,1,999945626461172.0,1.0,5.0,89391519142495.0,unknown,8.0,8,5,1,0,alpha,LOW,13063.0,1763195308,2025-11-15 08:28:28.712251+00:00,UNKNOWN,loss,27.2536139615972,-75.64083997103548,0
2MRvwoQnMyybJvmmQo39Knk2jhVFzzA95aNQ3mtspump,EVAhR7pe7jvQovsino3t84THaHxn5vEAwMmZphkaHxLP,2.1238354192372472e-05,0.0,14587.561517303686,0.0,0.0,0.0,0.0,0.0,1.1741551750510024e-06,56.23488422795991,14587.561517303686,0,0,1,999999999999998.0,0.0,0.0,0.0,unknown,25.0,8,0,0,0,alpha,LOW,0.0,1763366849,2025-11-17 08:07:29.416346+00:00,UNKNOWN,win,59.993564907225995,,1
2MmCzRnT1SJuvJhoXZ8kzmhjAXoGBDgNNuaHievDbonk,5KVK474MtSsBzfdcPsZR3un4XHzccFucUe5mhussqHiQ,0.015348530343080556,0.0,59840.478943700495,0.0,0.0,0.0,0.0,0.0,0.0,36.3352058273079,59840.478943700495,0,0,1,9999813035759.0,0.0,0.0,0.0,unknown,8.0,1,5,1,0,alpha,LOW,0.0,1762566864,2025-11-08 01:54:24.920871+00:00,UNKNOWN,loss,29.719260117799173,-76.06937004456674,0
2MpjiarUbQnJaWbnypSaeoA3ks58Qv4YamXjtKBxbonk,5ENZ6ws5bfgJxYZfkg7f7eCZUcUZuC9iLckxoBZP46Zt,0.000116,116032.0,39434.75,4307.65,6.34,0.10923487533203582,2.9423795003138093,9.154585446821354,0.0,33.148621481245485,39337.12021916931,0,0,1,999509974047018.0,3.0,257.0,1549862043887181.0,unknown,38.0,19,2,0,0,alpha,LOW,7494296.0,1762974472,2025-11-12 19:07:52.346927+00:00,2081.75,loss,9.568965517241377,-25.767241379310345,0
2NresLVvxgKiwqZciCxMCzw6eJ3pPDB6NrZhxqcMpump,5ZJQSU7YHuDQqtUhL1z65UUuEnaJJ73J3YCBAo9uuTVD,0.0001937,193758.0,44880.39,506779.95,233.0,11.291790245138245,4.3172084734557785,0.08855991638974667,0.0,30.239503447208964,47309.88939957465,0,0,1,999999737935106.0,0.0,0.0,0.0,unknown,18.0,20,4,0,0,alpha,LOW,6058.0,1763151488,2025-11-14 20:18:08.261182+00:00,1.68,loss,14.87756133583335,-78.3805476864967,0
2R5awbjoGYhzdXU5gErRtAQK3hyKmRfnJBeJeVvMpump,HB8n7qKnyUCX3EYHqieX2hoCKbNA1YoYEjoaeWUZJPbC,1.1235254697055767e-05,11238.0,12626.46,106889.31,-95.54,8.465501019288068,0.8900356869621414,0.11812649927293944,0.0,77.49401186282529,12631.89209453249,0,0,1,999788132845052.0,2.0,116.0,72733248190970.0,unknown,55.0,12,6,1,0,alpha,LOW,545479.0,1763296702,2025-11-16 12:38:22.875655+00:00,UNKNOWN,loss,0.0,-60.52158273381295,0
